CCDC124	Hs.100043
STK35	Hs.100057
DPYSL4	Hs.100058
GJC2	Hs.100072
FMNL1	Hs.100217
LIG3	Hs.100299
CA6	Hs.100322
BRPF1	Hs.1004
SRL	Hs.10041
BRMS1	Hs.100426
CXCL13	Hs.100431
SIAE	Hs.10056
AGR3	Hs.100686
LOC286052	Hs.100691
KCNN4	Hs.10082
ATPAF1	Hs.100874
ASTE1	Hs.100878
RPRM	Hs.100890
CEP192	Hs.100914
PEX16	Hs.100915
ZNF193	Hs.100921
SLC12A4	Hs.10094
MLLT1	Hs.10095
DCUN1D3	Hs.101007
MUL1	Hs.10101
CEP57	Hs.101014
PROZ	Hs.1011
MAPT	Hs.101174
C4BPA	Hs.1012
COL12A1	Hs.101302
SLC14A1	Hs.101307
UCP3	Hs.101337
BPHL	Hs.10136
ASNSD1	Hs.101364
LOC100131822	Hs.101480
ARSF	Hs.101674
RPUSD1	Hs.101742
SLITRK3	Hs.101745
N4BP3	Hs.101761
KIF16B	Hs.101774
ADC	Hs.101807
MR1	Hs.101840
MIER2	Hs.101891
PTH1R	Hs.1019
ELOVL4	Hs.101915
SIX2	Hs.101937
KBTBD3	Hs.101949
AMT	Hs.102
LOX	Hs.102267
SLC13A2	Hs.102307
KCNJ8	Hs.102308
MBL1P1	Hs.102310
LOC387693	Hs.102310
ARHGAP8	Hs.102336
PRR5	Hs.102336
LOC553158	Hs.102336
MLPH	Hs.102406
PHACTR2	Hs.102471
TTC5	Hs.102480
GSTA3	Hs.102484
PGAM5	Hs.102558
MADCAM1	Hs.102598
MCTS1	Hs.102696
RRAD	Hs.1027
SSBP2	Hs.102735
MAN1A1	Hs.102788
PSMA1	Hs.102798
TKTL1	Hs.102866
CUL4B	Hs.102914
ZNF668	Hs.102928
RIN1	Hs.1030
NKG7	Hs.10306
LSM2	Hs.103106
PPARA	Hs.103110
C22orf40	Hs.103110
CHRNA6	Hs.103128
LHX6	Hs.103137
LOC100131174	Hs.103146
SPATA20	Hs.103147
FMR1	Hs.103183
PLIN	Hs.103253
HOMER3	Hs.10326
COPE	Hs.10326
NRN1	Hs.103291
ZNF384	Hs.103315
